"fp","target","rank","repeat"
"rf_rdk7","810","1","4"
"rf_rdk7","810","1","5"
"rf_rdk7","810","1","6"
"rf_rdk7","810","1","7"
"rf_rdk7","810","1","8"
"rf_rdk7","810","1","9"
"rf_rdk7","810","1","10"
"rf_rdk7","810","1","11"
"rf_rdk7","810","1","12"
"rf_rdk7","810","1","13"
"rf_rdk7","810","1","14"
"rf_rdk7","810","1","15"
"rf_rdk7","810","1","16"
"rf_rdk7","810","1","17"
"rf_rdk7","810","1","18"
"rf_rdk7","810","1","19"
"rf_rdk7","810","1","20"
"rf_rdk7","810","1","21"
"rf_rdk7","810","1","22"
"rf_rdk7","810","1","23"
"rf_rdk7","810","1","24"
"rf_rdk7","810","1","25"
"rf_rdk7","810","1","26"
"rf_rdk7","810","1","27"
"rf_rdk7","810","1","28"
"rf_rdk7","810","1","29"
"rf_rdk7","810","1","30"
"rf_rdk7","810","1","31"
"rf_rdk7","810","1","32"
"rf_rdk7","810","1","33"
"rf_rdk7","810","1","34"
"rf_rdk7","810","1","35"
"rf_rdk7","810","1","36"
"rf_rdk7","810","1","37"
"rf_rdk7","810","1","38"
"rf_rdk7","810","1","39"
"rf_rdk7","810","1","40"
"rf_rdk7","810","1","41"
"rf_rdk7","810","1","42"
"rf_rdk7","810","1","43"
"rf_rdk7","810","1","44"
"rf_rdk7","810","1","45"
"rf_rdk7","810","1","46"
"rf_rdk7","810","1","47"
"rf_rdk7","810","1","48"
"rf_rdk7","810","1","49"
"rf_rdk7","810","1","50"
"rf_rdk7","832","1","1"
"rf_rdk7","832","1","2"
"rf_rdk7","832","1","3"
"rf_rdk7","832","1","4"
"rf_rdk7","832","1","5"
"rf_rdk7","832","1","6"
"rf_rdk7","832","1","7"
"rf_rdk7","832","1","8"
"rf_rdk7","832","1","9"
"rf_rdk7","832","1","10"
"rf_rdk7","832","1","11"
"rf_rdk7","832","1","12"
"rf_rdk7","832","1","13"
"rf_rdk7","832","1","14"
"rf_rdk7","832","1","15"
"rf_rdk7","832","1","16"
"rf_rdk7","832","1","17"
"rf_rdk7","832","1","18"
"rf_rdk7","832","1","19"
"rf_rdk7","832","1","20"
"rf_rdk7","832","1","21"
"rf_rdk7","832","1","22"
"rf_rdk7","832","1","23"
"rf_rdk7","832","1","24"
"rf_rdk7","832","1","25"
"rf_rdk7","832","1","26"
"rf_rdk7","832","1","27"
"rf_rdk7","832","1","28"
"rf_rdk7","832","1","29"
"rf_rdk7","832","1","30"
"rf_rdk7","832","1","31"
"rf_rdk7","832","1","32"
"rf_rdk7","832","1","33"
"rf_rdk7","832","1","34"
"rf_rdk7","832","1","35"
"rf_rdk7","832","1","36"
"rf_rdk7","832","1","37"
"rf_rdk7","832","1","38"
"rf_rdk7","832","1","39"
"rf_rdk7","832","1","40"
"rf_rdk7","832","1","41"
"rf_rdk7","832","1","42"
"rf_rdk7","832","1","43"
"rf_rdk7","832","1","44"
"rf_rdk7","832","1","45"
"rf_rdk7","832","1","46"
"rf_rdk7","832","1","47"
"rf_rdk7","832","1","48"
"rf_rdk7","832","1","49"
"rf_rdk7","832","1","50"
"rf_rdk7","846","1","1"
"rf_rdk7","846","1","2"
"rf_rdk7","846","1","3"
"rf_rdk7","846","1","4"
"rf_rdk7","846","1","5"
"rf_rdk7","846","1","6"
"rf_rdk7","846","1","7"
"rf_rdk7","846","1","8"
"rf_rdk7","846","1","9"
"rf_rdk7","846","1","10"
"rf_rdk7","846","1","11"
"rf_rdk7","846","1","12"
"rf_rdk7","846","1","13"
"rf_rdk7","846","1","14"
"rf_rdk7","846","1","15"
"rf_rdk7","846","1","16"
"rf_rdk7","846","1","17"
"rf_rdk7","846","1","18"
"rf_rdk7","846","1","19"
"rf_rdk7","846","1","20"
"rf_rdk7","846","1","21"
"rf_rdk7","846","1","22"
"rf_rdk7","846","1","23"
"rf_rdk7","846","1","24"
"rf_rdk7","846","1","25"
"rf_rdk7","846","1","26"
"rf_rdk7","846","1","27"
"rf_rdk7","846","1","28"
"rf_rdk7","846","1","29"
"rf_rdk7","846","1","30"
"rf_rdk7","846","1","31"
"rf_rdk7","846","1","32"
"rf_rdk7","846","1","33"
"rf_rdk7","846","1","34"
"rf_rdk7","846","1","35"
"rf_rdk7","846","1","36"
"rf_rdk7","846","1","37"
"rf_rdk7","846","1","38"
"rf_rdk7","846","1","39"
"rf_rdk7","846","1","40"
"rf_rdk7","846","1","41"
"rf_rdk7","846","1","42"
"rf_rdk7","846","1","43"
"rf_rdk7","846","1","44"
"rf_rdk7","846","1","45"
"rf_rdk7","846","1","46"
"rf_rdk7","846","1","47"
"rf_rdk7","846","1","48"
"rf_rdk7","846","1","49"
"rf_rdk7","846","1","50"
"rf_rdk7","852","1","1"
"rf_rdk7","852","1","2"
"rf_rdk7","852","1","3"
"rf_rdk7","852","1","4"
"rf_rdk7","852","1","5"
"rf_rdk7","852","1","6"
"rf_rdk7","852","1","7"
"rf_rdk7","852","1","8"
"rf_rdk7","852","1","9"
"rf_rdk7","852","1","10"
"rf_rdk7","852","1","11"
"rf_rdk7","852","1","12"
"rf_rdk7","852","1","13"
"rf_rdk7","852","1","14"
"rf_rdk7","852","1","15"
"rf_rdk7","852","1","16"
"rf_rdk7","852","1","17"
"rf_rdk7","852","1","18"
"rf_rdk7","852","1","19"
"rf_rdk7","852","1","20"
"rf_rdk7","852","1","21"
"rf_rdk7","852","1","22"
"rf_rdk7","852","1","23"
"rf_rdk7","852","1","24"
"rf_rdk7","852","1","25"
"rf_rdk7","852","1","26"
"rf_rdk7","852","1","27"
"rf_rdk7","852","1","28"
"rf_rdk7","852","1","29"
"rf_rdk7","852","1","30"
"rf_rdk7","852","1","31"
"rf_rdk7","852","1","32"
"rf_rdk7","852","1","33"
"rf_rdk7","852","1","34"
"rf_rdk7","852","1","35"
"rf_rdk7","852","1","36"
"rf_rdk7","852","1","37"
"rf_rdk7","852","1","38"
"rf_rdk7","852","1","39"
"rf_rdk7","852","1","40"
"rf_rdk7","852","1","41"
"rf_rdk7","852","1","42"
"rf_rdk7","852","1","43"
